ItemSizeTest, 3, 100
33,0.004926919937133789,COMMUNITIES,NEXT_HOP&MED
34,0.22320318222045898,AS_PATH,IP_PREFIX&AS_PATH
35,0.09377312660217285,NEXT_HOP,AS_PATH&AS_PATH
36,0.3928992748260498,AS_PATH,NEXT_HOP&AS_PATH
37,0.0048749446868896484,MED,COMMUNITIES&NEXT_HOP
38,0.005408763885498047,MED,NEXT_HOP&LOCAL_PREF
39,0.005605936050415039,IP_PREFIX,NEXT_HOP&AS_PATH
40,0.004671812057495117,MED,NEXT_HOP&MED
41,0.19801688194274902,AS_PATH,MED&NEXT_HOP
42,0.004694938659667969,MED,NEXT_HOP&MED
43,0.006753206253051758,NEXT_HOP,IP_PREFIX&COMMUNITIES
44,0.15751385688781738,COMMUNITIES,AS_PATH&LOCAL_PREF
45,0.4148890972137451,MED,AS_PATH&NEXT_HOP
46,0.1614542007446289,NEXT_HOP,AS_PATH&NEXT_HOP
47,0.24070310592651367,AS_PATH,IP_PREFIX&LOCAL_PREF
48,0.30592799186706543,MED,AS_PATH&NEXT_HOP
49,0.0062122344970703125,COMMUNITIES,IP_PREFIX&COMMUNITIES
50,0.16544103622436523,AS_PATH,NEXT_HOP&COMMUNITIES
51,0.004671812057495117,MED,COMMUNITIES&NEXT_HOP
52,0.006729841232299805,NEXT_HOP,IP_PREFIX&MED
53,0.006232738494873047,MED,IP_PREFIX&NEXT_HOP
54,0.005529165267944336,COMMUNITIES,IP_PREFIX&MED
55,0.003184795379638672,NEXT_HOP,AS_PATH&MED
56,0.01011514663696289,IP_PREFIX,MED&MED
57,0.005712032318115234,COMMUNITIES,NEXT_HOP&AS_PATH
58,0.006400108337402344,MED,NEXT_HOP&COMMUNITIES
59,0.15436410903930664,MED,AS_PATH&LOCAL_PREF
60,0.23576116561889648,IP_PREFIX,AS_PATH&LOCAL_PREF
61,0.010670185089111328,NEXT_HOP,IP_PREFIX&COMMUNITIES
62,0.2908768653869629,AS_PATH,NEXT_HOP&MED
63,0.006209850311279297,MED,IP_PREFIX&COMMUNITIES
64,0.0033719539642333984,NEXT_HOP,MED&NEXT_HOP
65,0.36176013946533203,COMMUNITIES,AS_PATH&MED
66,0.2374248504638672,IP_PREFIX,AS_PATH&NEXT_HOP
67,0.005285024642944336,MED,IP_PREFIX&AS_PATH
68,0.006107330322265625,MED,IP_PREFIX&LOCAL_PREF
69,0.15133905410766602,AS_PATH,IP_PREFIX&NEXT_HOP
70,0.006022214889526367,IP_PREFIX,COMMUNITIES&NEXT_HOP
71,0.006450176239013672,COMMUNITIES,IP_PREFIX&AS_PATH
72,0.0067827701568603516,NEXT_HOP,MED&NEXT_HOP
73,0.00520014762878418,COMMUNITIES,NEXT_HOP&AS_PATH
74,0.09315013885498047,MED,AS_PATH&LOCAL_PREF
75,0.006064176559448242,MED,IP_PREFIX&COMMUNITIES
76,0.005522012710571289,MED,COMMUNITIES&LOCAL_PREF
77,0.004825115203857422,COMMUNITIES,MED&COMMUNITIES
78,0.0032100677490234375,NEXT_HOP,AS_PATH&MED
79,0.3132600784301758,AS_PATH,MED&LOCAL_PREF
80,0.21216988563537598,COMMUNITIES,AS_PATH&NEXT_HOP
81,0.0036759376525878906,NEXT_HOP,IP_PREFIX&NEXT_HOP
82,0.06424093246459961,AS_PATH,COMMUNITIES&COMMUNITIES
83,0.0050220489501953125,COMMUNITIES,NEXT_HOP&MED
84,0.006458759307861328,COMMUNITIES,NEXT_HOP&LOCAL_PREF
85,0.22051191329956055,COMMUNITIES,AS_PATH&AS_PATH
86,0.0052471160888671875,COMMUNITIES,NEXT_HOP&NEXT_HOP
87,0.2076559066772461,IP_PREFIX,AS_PATH&NEXT_HOP
88,0.006227970123291016,IP_PREFIX,NEXT_HOP&COMMUNITIES
89,0.004807949066162109,COMMUNITIES,MED&NEXT_HOP
90,0.3513350486755371,COMMUNITIES,AS_PATH&COMMUNITIES
91,0.0054378509521484375,COMMUNITIES,NEXT_HOP&COMMUNITIES
92,0.32030701637268066,MED,AS_PATH&AS_PATH
93,0.0063588619232177734,NEXT_HOP,IP_PREFIX&MED
94,0.006076812744140625,IP_PREFIX,MED&MED
95,0.29825425148010254,AS_PATH,MED&NEXT_HOP
96,0.007776021957397461,IP_PREFIX,NEXT_HOP&COMMUNITIES
97,0.006211757659912109,MED,IP_PREFIX&COMMUNITIES
98,0.0030608177185058594,NEXT_HOP,COMMUNITIES&LOCAL_PREF
99,0.00483393669128418,NEXT_HOP,MED&MED
